date,eff_dim,mean_corr,mst_len,separation,vorticity
2026-04-21,8.8012,0.0965,18.9364,1.1683,
2026-04-24,8.754,0.0951,18.9089,1.1669,
2026-04-29,8.6605,0.0942,18.9029,1.1704,
2026-05-04,8.7006,0.1022,18.9834,1.1656,
2026-05-07,8.5297,0.1023,18.9889,1.167,
2026-05-12,8.4895,0.1042,19.0369,1.1698,
2026-05-15,8.6721,0.1019,19.2287,1.167,
2026-05-20,8.54,0.102,19.2609,1.17,
2026-05-26,8.5049,0.0998,19.3376,1.1688,
2026-05-29,8.4572,0.1024,19.2665,1.1662,
2026-06-03,8.5009,0.1025,19.3012,1.1687,
2026-06-08,8.3516,0.0973,19.4687,1.1768,
2026-06-11,8.3703,0.0944,19.5107,1.1791,
2026-06-16,8.3404,0.0899,19.3775,1.178,
2026-06-22,8.3257,0.0927,19.4769,1.1852,
2026-06-25,8.064,0.08,19.3308,1.1887,
2026-06-30,7.9071,0.0768,18.9859,1.1903,
2026-07-06,8.6319,0.0565,19.4239,1.1548,
2026-07-09,8.8552,0.0668,19.6101,1.1892,
2026-07-14,9.6426,0.0605,20.0339,1.2095,
2026-07-17,9.5317,0.0552,19.816,1.2279,
2026-07-22,9.7495,0.0588,19.8937,1.2445,
2026-07-27,9.749,0.0577,19.8308,1.2407,
2026-07-30,9.6887,0.0497,19.7324,1.2217,
2026-08-04,9.678,0.0419,19.9436,1.2463,
2026-08-07,9.7952,0.0383,20.1014,1.2475,
2026-08-12,9.6228,0.0382,20.0622,1.2502,
2026-08-17,9.7477,0.0383,20.0557,1.25,
2026-08-20,9.4565,0.0518,19.75,1.2009,0.8457
